data_type,Werkstoff (Hilfsspalte),Schmelzzonendicke / µm,Fügezeit,Nennleistung / W,d_f / mm,λ_K / W/(m*K),c_p_K / J/(kg*K),ρ_K / kg/m^3,H_s_K / kJ/kg,T_im_K / °C,t_M / mm,λ_M / W/(m*K),c_p_M / J/(kg*K),ρ_M / kg/m^3
train,PA 6.6,"73,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"160,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"230,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"287,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"337,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"384,00","6,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"427,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"466,00","8,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"504,00","9,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"540,00","10,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","1,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"42,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"104,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"153,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"196,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"235,00","6,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"270,00","7,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"302,00","8,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"334,00","9,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"363,00","10,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,00","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","1,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","2,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","3,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"0,00","4,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
train,PA 6.6,"6,00","5,00","1.000,00","5,26","0,31","1.456,00","1.135,00","46,00","235,00","2,50","185,00","1.090,00","2.700,00"
